"report_number","occurred_date","occurred_time","reported_date","reported_time","crime_subcategory","primary_offense_description","precinct","sector","beat","neighborhood"
20180000203349,2018-06-05,1523,2018-06-05,1523,"THEFT-ALL OTHER","THEFT-OTH","WEST","K","K1","DOWNTOWN COMMERCIAL"
2017000069451,2017-02-25,1553,2017-02-25,1723,"AGGRAVATED ASSAULT","ASSLT-AGG-WEAPON","NORTH","U","U2","UNIVERSITY"
2017000040422,NA,2100,NA,1314,"CAR PROWL","THEFT-CARPROWL","WEST","Q","Q2","QUEEN ANNE"
2015000061485,2015-02-23,NA,2015-02-23,1136,"BURGLARY-COMMERCIAL","BURGLARY-FORCE-NONRES","EAST","C","C1","EASTLAKE - EAST"
20080000226304,2008-06-22,330,2008-06-22,540,"AGGRAVATED ASSAULT","ASSLT-AGG-GUN","SOUTH","S","S3","RAINIER BEACH"
20140000218261,2014-07-05,2330,NA,2330,"NARCOTIC","NARC-SELL-METH","EAST",NA,"G2","JUDKINS PARK/NORTH BEACON HILL"
20130000382705,NA,800,2013-10-21,1713,"CAR PROWL","THEFT-LICENSE PLATE","SOUTH","O","O1","SODO"
2011000079950,NA,2100,2011-03-10,1620,"BURGLARY-COMMERCIAL","BURGLARY-NOFORCE-NONRES","EAST","G","G2","CENTRAL AREA/SQUIRE PARK"
2008000046622,2008-02-04,2130,2008-02-05,701,"CAR PROWL","THEFT-CARPROWL","NORTH","U",NA,"SANDPOINT"
20150000228368,2015-07-04,2341,2015-07-04,2341,"FAMILY OFFENSE-NONVIOLENT","CHILD-OTHER","NORTH","B","B3","WALLINGFORD"
2010000020398,2010-01-18,NA,2010-01-18,2258,"ROBBERY-STREET","ROBBERY-STREET-WEAPON",NA,"F",NA,"HIGH POINT"
20080000265618,2008-07-19,1339,2008-07-19,1710,"NARCOTIC","NARC-SELL-MARIJU","NORTH","U","U2","UNIVERSITY"
20150000449959,2015-12-30,1100,2015-12-30,1141,NA,"THEFT-CARPROWL","EAST",NA,"G2","CENTRAL AREA/SQUIRE PARK"
20100000338883,2010-09-28,233,2010-09-28,335,"TRESPASS","TRESPASS","WEST","K","K2","PIONEER SQUARE"
