"report_number","occurred_date","occurred_time","reported_date","reported_time","crime_subcategory","primary_offense_description","precinct","sector","beat","neighborhood"
20130000405140,2013-10-08,54,NA,827,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","SOUTH","O","O2","SODO"
2009000021113,2009-01-17,1656,2009-01-17,1656,"AGGRAVATED ASSAULT-DV","ASSLT-AGG-DV-WEAPON","SOUTHWEST","F","F2","SOUTH DELRIDGE"
NA,2010-08-19,640,2010-08-19,656,"AGGRAVATED ASSAULT-DV","ASSLT-AGG-DV-BODYFORCE","EAST","E","E2","CAPITOL HILL"
2009000037088,2009-01-30,1935,2009-01-30,1935,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","SOUTHWEST","F","F2","ROXHILL/WESTWOOD/ARBOR HEIGHTS"
20160000102629,2016-03-24,NA,2016-03-24,NA,"DUI","DUI-DRUGS","NORTH","J","J2","BALLARD NORTH"
20140000906728,2014-08-21,0,2014-08-21,1013,"CAR PROWL","THEFT-CARPROWL","EAST","E","E2","CAPITOL HILL"
20080000372408,2008-09-27,1200,2008-10-03,2202,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","NORTH","N","N2","BITTERLAKE"
20110000903852,2011-10-07,1630,2011-10-10,928,"CAR PROWL","THEFT-CARPROWL","NORTH","L","L3","LAKECITY"
20180000261406,2018-07-15,1645,2018-07-16,NA,"MOTOR VEHICLE THEFT","VEH-THEFT-TRUCK","SOUTH","O","O2","SODO"
20180000900465,2018-01-14,100,2018-01-14,1931,"CAR PROWL","THEFT-CARPROWL",NA,"W","W1","NORTH ADMIRAL"
201700009921,2017-01-08,2302,2017-01-09,6,"CAR PROWL","THEFT-CARPROWL","SOUTHWEST","F","F2","ROXHILL/WESTWOOD/ARBOR HEIGHTS"
20160000157957,2016-05-06,1906,2016-05-06,1907,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","WEST","D","D2","SLU/CASCADE"
NA,2016-02-08,2100,2016-02-09,1127,"BURGLARY-RESIDENTIAL","BURGLARY-NOFORCE-RES","NORTH",NA,"J2","BALLARD NORTH"
20160000905427,2016-08-07,1000,2016-08-09,NA,"THEFT-BICYCLE","THEFT-BICYCLE","NORTH","B","B1","BALLARD SOUTH"
NA,2013-12-20,1640,2013-12-20,1931,"THEFT-BUILDING","THEFT-BUILDING","EAST","E","E2","CAPITOL HILL"
20160000200178,2016-06-06,1142,2016-06-06,1142,"THEFT-BUILDING",NA,"WEST","K","K3","DOWNTOWN COMMERCIAL"
20080000214869,2008-06-13,1700,2008-06-14,1206,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","SOUTH","S","S3","RAINIER VIEW"
20140000903136,2014-03-17,1700,2014-03-24,1313,"CAR PROWL",NA,"EAST","C","C2","MONTLAKE/PORTAGE BAY"
20140000377296,NA,1904,2014-11-10,1904,"ROBBERY-STREET","ROBBERY-STREET-BODYFORCE","WEST","M","M3","DOWNTOWN COMMERCIAL"
20120000324677,2012-09-20,1810,2012-09-24,NA,NA,"BURGLARY-NOFORCE-NONRES","SOUTH","O","O1","SODO"
20100000368911,2010-10-21,2314,NA,6,"NARCOTIC","NARC-POSSESS-MARIJU",NA,"G","G1","FIRST HILL"
201100003163,2011-01-03,1611,2011-01-03,1737,"CAR PROWL","THEFT-CARPROWL","WEST","Q","Q2","QUEEN ANNE"
20170000149025,2017-04-28,2200,2017-04-29,215,"CAR PROWL","THEFT-CARPROWL","SOUTH","O","O1","SODO"
20120000327530,2012-09-20,NA,NA,1008,"FAMILY OFFENSE-NONVIOLENT","CHILD-OTHER","NORTH","L","L3","LAKECITY"
20150000234486,2015-07-09,NA,2015-07-09,1249,NA,"THEFT-SHOPLIFT","WEST","K","K3",NA
20120000396298,2012-11-19,700,2012-11-19,703,"BURGLARY-COMMERCIAL","BURGLARY-FORCE-NONRES","SOUTHWEST","F","F2","ROXHILL/WESTWOOD/ARBOR HEIGHTS"
20130000907597,2013-06-01,1201,2013-06-19,1510,NA,"THEFT-CARPROWL","SOUTHWEST","W","W1","ALKI"
NA,2014-11-25,900,2014-11-25,1041,"CAR PROWL","THEFT-CARPROWL","EAST","C","C2","MILLER PARK"
2018000038039,2018-01-31,1729,2018-01-31,1729,"NARCOTIC","NARC-POSSESS-HEROIN","NORTH",NA,"N3","NORTHGATE"
20120000371433,NA,1900,2012-10-29,1936,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","EAST","E","E2","CAPITOL HILL"
20170000177339,2017-05-20,205,2017-05-20,207,"DUI","DUI-LIQUOR","WEST",NA,"D3","SLU/CASCADE"
2010000016887,2010-01-15,1540,2010-01-15,1749,"THEFT-ALL OTHER","THEFT-OTH","NORTH","N","N1","GREENWOOD"
20080000391618,2008-10-18,241,2008-10-18,241,"BURGLARY-COMMERCIAL","BURGLARY-FORCE-NONRES","SOUTH","O",NA,"SODO"
20160000110013,2016-03-30,2058,2016-03-30,2058,"AGGRAVATED ASSAULT","ASSLT-AGG-WEAPON","SOUTHWEST","F","F2","ROXHILL/WESTWOOD/ARBOR HEIGHTS"
20160000330904,2016-09-12,1248,2016-09-12,1248,"TRESPASS",NA,NA,"E","E3","FIRST HILL"
20160000465240,2016-12-28,1545,2016-12-28,1545,"NARCOTIC","NARC-SELL-COCAINE","WEST","M","M1","DOWNTOWN COMMERCIAL"
20080000391146,2008-10-17,2020,2008-10-18,152,"BURGLARY-COMMERCIAL","BURGLARY-FORCE-NONRES","WEST","K","K1","DOWNTOWN COMMERCIAL"
20150000904424,2015-07-06,430,2015-07-07,2204,"CAR PROWL","THEFT-CARPROWL","WEST","Q","Q2","QUEEN ANNE"
20150000144159,NA,206,2015-05-03,422,"AGGRAVATED ASSAULT","ASSLT-AGG-WEAPON","EAST","E","E2","CAPITOL HILL"
2014000065419,NA,925,2014-03-02,925,NA,"TRESPASS","NORTH","U","U2","UNIVERSITY"
NA,2011-09-14,330,2011-09-15,2012,"CAR PROWL","THEFT-CARPROWL","WEST","Q","Q2","QUEEN ANNE"
20080000320772,2008-08-28,430,2008-08-28,440,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","WEST","K","K3","CHINATOWN/INTERNATIONAL DISTRICT"
20080000166059,2008-05-08,2000,2008-05-09,732,"MOTOR VEHICLE THEFT","VEH-THEFT-AUTO","EAST","G","G2","CENTRAL AREA/SQUIRE PARK"
20110000193067,2011-06-16,NA,2011-06-16,1300,"CAR PROWL","THEFT-AUTOACC",NA,"N","N2","NORTHGATE"
NA,2015-01-25,2000,2015-01-25,NA,"ARSON","ARSON-BUSINESS","NORTH","B","B1","BALLARD SOUTH"
2015000093683,2015-03-22,1200,2015-03-22,1237,"CAR PROWL","THEFT-CARPROWL","WEST",NA,"K1","DOWNTOWN COMMERCIAL"
NA,2008-03-28,0,2008-03-31,922,"MOTOR VEHICLE THEFT","VEH-THEFT-TRUCK","WEST",NA,"D2","QUEEN ANNE"
20130000131040,2013-04-18,2100,2013-04-19,911,"CAR PROWL","THEFT-CARPROWL","NORTH","U","U3","SANDPOINT"
20130000901890,2013-01-31,2000,2013-02-07,2248,"CAR PROWL","THEFT-CARPROWL","EAST","E","E3","FIRST HILL"
20100000149677,2010-05-01,30,2010-05-07,2149,"CAR PROWL","THEFT-CARPROWL","NORTH","B","B2","FREMONT"
20130000174545,2013-05-23,2350,2013-05-24,42,"ROBBERY-STREET","ROBBERY-STREET-WEAPON",NA,"F",NA,"SOUTH DELRIDGE"
NA,2013-10-23,0,2013-10-23,1440,"CAR PROWL","THEFT-CARPROWL","SOUTH","R","R2","MOUNT BAKER"
20160000903906,2016-06-02,2200,2016-06-03,1255,"CAR PROWL","THEFT-CARPROWL","NORTH","J","J2",NA
2010000040741,2010-02-04,2351,2010-02-04,2351,"DUI",NA,"SOUTHWEST","F","F1","COMMERCIAL DUWAMISH"
20160000333699,2016-08-29,1200,2016-09-14,1432,"THEFT-ALL OTHER","THEFT-MAIL","EAST","G","G2","JUDKINS PARK/NORTH BEACON HILL"
20090000202464,2009-06-12,35,2009-06-12,444,"CAR PROWL","THEFT-CARPROWL","NORTH","N","N1","BALLARD NORTH"
20140000277484,2014-08-20,1646,2014-08-20,2213,"TRESPASS","TRESPASS","WEST","K","K2",NA
2017000027093,2017-01-23,1,2017-01-23,534,"AGGRAVATED ASSAULT","ASSLT-AGG-BODYFORCE","SOUTHWEST","F","F3","HIGHLAND PARK"
201400002427,NA,0,2014-01-03,816,"THEFT-BICYCLE","THEFT-BICYCLE",NA,"G","G2","CENTRAL AREA/SQUIRE PARK"
20150000133716,2015-03-26,0,2015-04-24,1145,"THEFT-ALL OTHER","THEFT-MAIL","NORTH","L","L3","LAKECITY"
20080000361315,2008-09-25,2350,2008-09-26,18,"CAR PROWL","THEFT-AUTOACC","SOUTH","R","R2",NA
20140000317222,2014-09-20,1000,2014-09-22,1708,"CAR PROWL","THEFT-CARPROWL","SOUTHWEST","F","F1","SOUTH PARK"
20100000334630,2010-09-24,1537,2010-09-24,1612,"ROBBERY-STREET","ROBBERY-STREET-WEAPON","WEST",NA,"K3",NA
NA,2013-10-10,715,2013-10-10,2239,"CAR PROWL","THEFT-CARPROWL","WEST","M","M1","DOWNTOWN COMMERCIAL"
NA,2011-05-28,1300,2011-05-30,1304,"BURGLARY-RESIDENTIAL",NA,"SOUTH","S","S3","RAINIER VIEW"
20130000260903,2013-07-22,1657,2013-07-22,1814,"SEX OFFENSE-OTHER","SEXOFF-LEWD CONDUCT","NORTH",NA,"B1","BALLARD SOUTH"
20080000128550,2008-04-10,350,2008-04-10,437,"THEFT-SHOPLIFT","THEFT-SHOPLIFT","EAST","G","G3","JUDKINS PARK/NORTH BEACON HILL"
2016000076092,2016-03-03,930,2016-03-03,1024,"TRESPASS","TRESPASS","WEST","K","K1","DOWNTOWN COMMERCIAL"
20100000335500,2010-09-25,731,2010-09-25,731,"AGGRAVATED ASSAULT-DV","ASSLT-AGG-DV-BODYFORCE","SOUTH","R","R1","NORTH BEACON HILL"
20160000904536,2016-06-21,825,2016-06-21,NA,"CAR PROWL","THEFT-CARPROWL","WEST","K","K3","DOWNTOWN COMMERCIAL"
20170000423440,2017-11-14,2130,2017-11-15,1140,"BURGLARY-RESIDENTIAL-SECURE PARKING","BURGLARY-SECURE PARKING-RES","WEST","D","D2","QUEEN ANNE"
2018000073691,2018-02-24,1700,2018-02-28,1716,NA,NA,"WEST","D","D2","SLU/CASCADE"
2015000025718,2015-01-22,730,2015-01-23,1657,"MOTOR VEHICLE THEFT","VEH-THEFT-MTRCYCLE","WEST","D","D3","EASTLAKE - WEST"
20110000307081,NA,10,2011-09-17,229,"CAR PROWL","THEFT-CARPROWL","WEST",NA,"D2","QUEEN ANNE"
